"scenario","arm","treatment_day","V_AUC","P_peak","K_peak","L_peak","C_pro_peak","CD8_E_peak","IgM_peak","mortality_prob"
"ribavirin_day1_default","ribavirin",1,136587523.588493,94.0943190342486,4.01615346086564,29.5274781962312,0.184475654225466,41.0523940511196,0.541075159862656,0.0241837443298295
"ribavirin_day1_no_nonantiviral","ribavirin",1,136592245.048508,94.0955590576128,17.3519836332087,60.0078710280338,0.364388279595242,41.0522977851816,0.541093293134486,0.0598145718159167
"combination_day1_default","combination",1,22718716.1704934,45.0938379762765,2.17156931318081,10.7066312944794,0.184475654225466,41.0410685648694,0.448457273374868,0.00958606422587058
"combination_day1_no_rbv_nonantiviral","combination",1,22719993.7669266,45.0938477946945,5.8110736824504,18.2951408713295,0.277515710766524,41.0409518794673,0.448481964858677,0.0225622922499462
"fav_default_day1","favipiravir",1,100484592.151897,209.48792581775,24.1704325148189,74.2222838825592,0.404678887253726,41.0829104740107,0.746421223374048,0.0563717676277919
"fav_default_day2","favipiravir",2,69253093.6025244,130.406496178448,17.4600739565522,55.6126597472032,0.372257643662146,41.0584549933057,0.536446924225643,0.051578413588159
"fav_EC50_half_day1","favipiravir",1,71955623.1746963,158.418427002926,15.3495132121719,46.19798368834,0.399788265801702,41.0743670157374,0.658458355193772,0.0430795945761408
"fav_EC50_half_day2","favipiravir",2,59852224.5077502,129.634797619888,17.273412906551,54.9369931228971,0.372051034820166,41.0564913402771,0.527572295603148,0.0504866081816523
"fav_EC50_double_day1","favipiravir",1,120815878.349574,206.672941334333,27.765561273582,87.4623724571236,0.345304332742024,41.088599724276,0.789968301659041,0.0631112636164432
"fav_EC50_double_day2","favipiravir",2,80030555.4757097,131.724595531621,17.8208878761239,56.8589433693537,0.372579865943328,41.0570815140874,0.527750349602046,0.0535525717289065
"fav_Emax_090_day1","favipiravir",1,100905814.73366,99.9761560244921,13.8960576597103,44.8281410168442,0.340828478427019,41.0821181102894,0.678449933701392,0.0487482463148962
"fav_Emax_090_day2","favipiravir",2,90262330.6278391,132.039013913589,18.3507397650436,59.0797953170037,0.372683949058374,41.0480335009699,0.51756957374023,0.0563914556237268
"fav_CD8_fast_day1","favipiravir",1,89859495.3140948,193.428080694815,21.838263828558,66.8402870597405,0.379368107064956,46.3839868222581,0.666467282152348,0.0526375051742661
"fav_CD8_fast_day2","favipiravir",2,62662866.6290165,117.187669856727,15.6348411719138,49.7426972554459,0.366131303377266,46.3503690101605,0.502283322580037,0.0481312133946319
"fav_CD8_slow_day1","favipiravir",1,114095931.947301,233.477807641436,27.4015386180434,84.3907739715715,0.445521689939923,31.4002154689687,0.84140914389611,0.0607640837069616
"fav_CD8_slow_day2","favipiravir",2,78747692.4356479,142.718611346008,19.1969509323852,61.1512568062246,0.377422095248941,31.3883559959434,0.601911878101065,0.0547597872468673
