"time","C_pro","P","PLT","treatment_day","arm"
0,0.0394620415268602,6.345027023202,248.397468750573,1,"placebo"
0.5,0.09232752936646,15.7199265145483,245.964099865072,1,"placebo"
1,0.184474873601713,35.8713166465112,240.29394380649,1,"placebo"
1.5,0.288714486859763,70.7087330059199,228.82315761938,1,"placebo"
2,0.354311611317968,116.159619163564,209.946335351102,1,"placebo"
2.5,0.375134824792166,162.174374096385,185.045795248604,1,"placebo"
3,0.374733058246063,201.568024317873,157.763963463123,1,"placebo"
3.5,0.367869554090796,232.285920021856,131.65670967124,1,"placebo"
4,0.359297093069886,254.948982517125,108.906120009065,1,"placebo"
4.5,0.350177263563358,270.910573448126,90.3198037176203,1,"placebo"
5,0.340771790137115,281.501246507928,75.8085647712236,1,"placebo"
5.5,0.331146601285191,287.837612014122,64.8458769648993,1,"placebo"
6,0.321327618876611,290.812896710486,56.7712784891311,1,"placebo"
6.5,0.311333360729419,291.131178905181,50.9515076283684,1,"placebo"
7,0.30118158512469,289.345461250136,46.8477863599398,1,"placebo"
7.5,0.290890504271354,285.890282959517,44.0312971450831,1,"placebo"
8,0.280478852776557,281.107835456141,42.1744606648768,1,"placebo"
8.5,0.269965722399772,275.268443062698,41.0335649576484,1,"placebo"
9,0.259370362436234,268.586513243024,40.4304295261352,1,"placebo"
9.5,0.248711990330198,261.232926845586,40.2363084757676,1,"placebo"
10,0.238009622193411,253.344651712217,40.3589508869803,1,"placebo"
10.5,0.227281924656214,245.03219642478,40.7327066333578,1,"placebo"
11,0.216547087412957,236.385385978495,41.3111895550577,1,"placebo"
11.5,0.205822715270169,227.477834729919,42.0619418711183,1,"placebo"
12,0.195125738324043,218.37040874056,42.9626019084215,1,"placebo"
12.5,0.184472338874747,209.113904742161,43.9981732313527,1,"placebo"
13,0.17387789381368,199.751122383468,45.1590884552877,1,"placebo"
13.5,0.163356930031868,190.318467079952,46.4398413801368,1,"placebo"
14,0.152923095171402,180.847190148556,47.8380238441548,1,"placebo"
14.5,0.142589135030451,171.364348097556,49.3536513666153,1,"placebo"
15,0.132366887158489,161.89355034732,50.9886921157217,1,"placebo"
15.5,0.122267277391563,152.455530799584,52.7467494057721,1,"placebo"
16,0.112300329164883,143.068605243857,54.6328442527681,1,"placebo"
16.5,0.102475179226681,133.749021621959,56.6532819698664,1,"placebo"
17,0.0928000954710585,124.511239998741,58.8155757134394,1,"placebo"
17.5,0.0832825124158993,115.368153417856,61.1284168676632,1,"placebo"
18,0.0739290593132509,106.331268514258,63.6016804665633,1,"placebo"
18.5,0.0647456092273892,97.4108535721717,66.2464606393574,1,"placebo"
19,0.0557373346513314,88.6160643604011,69.0751315854399,1,"placebo"
19.5,0.0469087888823153,79.9550562544235,72.1014312334804,1,"placebo"
20,0.0382640362949329,71.4350920549691,75.3405655794575,1,"placebo"
20.5,0.0298069060463582,63.0626612378154,78.8093321244248,1,"placebo"
21,0.0215416188205748,54.8436466333159,82.5262593357244,1,"placebo"
0,0.0394620415268602,6.345027023202,248.397468750573,2,"placebo"
0.5,0.09232752936646,15.7199265145483,245.964099865072,2,"placebo"
1,0.184474873601713,35.8713166465112,240.29394380649,2,"placebo"
1.5,0.288714486859763,70.7087330059199,228.82315761938,2,"placebo"
2,0.354311611317968,116.159619163564,209.946335351102,2,"placebo"
2.5,0.375134824792166,162.174374096385,185.045795248604,2,"placebo"
3,0.374733058246063,201.568024317873,157.763963463123,2,"placebo"
3.5,0.367869554090796,232.285920021856,131.65670967124,2,"placebo"
4,0.359297093069886,254.948982517125,108.906120009065,2,"placebo"
4.5,0.350177263563358,270.910573448126,90.3198037176203,2,"placebo"
5,0.340771790137115,281.501246507928,75.8085647712236,2,"placebo"
5.5,0.331146601285191,287.837612014122,64.8458769648993,2,"placebo"
6,0.321327618876611,290.812896710486,56.7712784891311,2,"placebo"
6.5,0.311333360729419,291.131178905181,50.9515076283684,2,"placebo"
7,0.30118158512469,289.345461250136,46.8477863599398,2,"placebo"
7.5,0.290890504271354,285.890282959517,44.0312971450831,2,"placebo"
8,0.280478852776557,281.107835456141,42.1744606648768,2,"placebo"
8.5,0.269965722399772,275.268443062698,41.0335649576484,2,"placebo"
9,0.259370362436234,268.586513243024,40.4304295261352,2,"placebo"
9.5,0.248711990330198,261.232926845586,40.2363084757676,2,"placebo"
10,0.238009622193411,253.344651712217,40.3589508869803,2,"placebo"
10.5,0.227281924656214,245.03219642478,40.7327066333578,2,"placebo"
11,0.216547087412957,236.385385978495,41.3111895550577,2,"placebo"
11.5,0.205822715270169,227.477834729919,42.0619418711183,2,"placebo"
12,0.195125738324043,218.37040874056,42.9626019084215,2,"placebo"
12.5,0.184472338874747,209.113904742161,43.9981732313527,2,"placebo"
13,0.17387789381368,199.751122383468,45.1590884552877,2,"placebo"
13.5,0.163356930031868,190.318467079952,46.4398413801368,2,"placebo"
14,0.152923095171402,180.847190148556,47.8380238441548,2,"placebo"
14.5,0.142589135030451,171.364348097556,49.3536513666153,2,"placebo"
15,0.132366887158489,161.89355034732,50.9886921157217,2,"placebo"
15.5,0.122267277391563,152.455530799584,52.7467494057721,2,"placebo"
16,0.112300329164883,143.068605243857,54.6328442527681,2,"placebo"
16.5,0.102475179226681,133.749021621959,56.6532819698664,2,"placebo"
17,0.0928000954710585,124.511239998741,58.8155757134394,2,"placebo"
17.5,0.0832825124158993,115.368153417856,61.1284168676632,2,"placebo"
18,0.0739290593132509,106.331268514258,63.6016804665633,2,"placebo"
18.5,0.0647456092273892,97.4108535721717,66.2464606393574,2,"placebo"
19,0.0557373346513314,88.6160643604011,69.0751315854399,2,"placebo"
19.5,0.0469087888823153,79.9550562544235,72.1014312334804,2,"placebo"
20,0.0382640362949329,71.4350920549691,75.3405655794575,2,"placebo"
20.5,0.0298069060463582,63.0626612378154,78.8093321244248,2,"placebo"
21,0.0215416188205748,54.8436466333159,82.5262593357244,2,"placebo"
0,0.0394620415268602,6.345027023202,248.397468750573,3,"placebo"
0.5,0.09232752936646,15.7199265145483,245.964099865072,3,"placebo"
1,0.184474873601713,35.8713166465112,240.29394380649,3,"placebo"
1.5,0.288714486859763,70.7087330059199,228.82315761938,3,"placebo"
2,0.354311611317968,116.159619163564,209.946335351102,3,"placebo"
2.5,0.375134824792166,162.174374096385,185.045795248604,3,"placebo"
3,0.374733058246063,201.568024317873,157.763963463123,3,"placebo"
3.5,0.367869554090796,232.285920021856,131.65670967124,3,"placebo"
4,0.359297093069886,254.948982517125,108.906120009065,3,"placebo"
4.5,0.350177263563358,270.910573448126,90.3198037176203,3,"placebo"
5,0.340771790137115,281.501246507928,75.8085647712236,3,"placebo"
5.5,0.331146601285191,287.837612014122,64.8458769648993,3,"placebo"
6,0.321327618876611,290.812896710486,56.7712784891311,3,"placebo"
6.5,0.311333360729419,291.131178905181,50.9515076283684,3,"placebo"
7,0.30118158512469,289.345461250136,46.8477863599398,3,"placebo"
7.5,0.290890504271354,285.890282959517,44.0312971450831,3,"placebo"
8,0.280478852776557,281.107835456141,42.1744606648768,3,"placebo"
8.5,0.269965722399772,275.268443062698,41.0335649576484,3,"placebo"
9,0.259370362436234,268.586513243024,40.4304295261352,3,"placebo"
9.5,0.248711990330198,261.232926845586,40.2363084757676,3,"placebo"
10,0.238009622193411,253.344651712217,40.3589508869803,3,"placebo"
10.5,0.227281924656214,245.03219642478,40.7327066333578,3,"placebo"
11,0.216547087412957,236.385385978495,41.3111895550577,3,"placebo"
11.5,0.205822715270169,227.477834729919,42.0619418711183,3,"placebo"
12,0.195125738324043,218.37040874056,42.9626019084215,3,"placebo"
12.5,0.184472338874747,209.113904742161,43.9981732313527,3,"placebo"
13,0.17387789381368,199.751122383468,45.1590884552877,3,"placebo"
13.5,0.163356930031868,190.318467079952,46.4398413801368,3,"placebo"
14,0.152923095171402,180.847190148556,47.8380238441548,3,"placebo"
14.5,0.142589135030451,171.364348097556,49.3536513666153,3,"placebo"
15,0.132366887158489,161.89355034732,50.9886921157217,3,"placebo"
15.5,0.122267277391563,152.455530799584,52.7467494057721,3,"placebo"
16,0.112300329164883,143.068605243857,54.6328442527681,3,"placebo"
16.5,0.102475179226681,133.749021621959,56.6532819698664,3,"placebo"
17,0.0928000954710585,124.511239998741,58.8155757134394,3,"placebo"
17.5,0.0832825124158993,115.368153417856,61.1284168676632,3,"placebo"
18,0.0739290593132509,106.331268514258,63.6016804665633,3,"placebo"
18.5,0.0647456092273892,97.4108535721717,66.2464606393574,3,"placebo"
19,0.0557373346513314,88.6160643604011,69.0751315854399,3,"placebo"
19.5,0.0469087888823153,79.9550562544235,72.1014312334804,3,"placebo"
20,0.0382640362949329,71.4350920549691,75.3405655794575,3,"placebo"
20.5,0.0298069060463582,63.0626612378154,78.8093321244248,3,"placebo"
21,0.0215416188205748,54.8436466333159,82.5262593357244,3,"placebo"
0,0.0394620415268602,6.345027023202,248.397468750573,4,"placebo"
0.5,0.09232752936646,15.7199265145483,245.964099865072,4,"placebo"
1,0.184474873601713,35.8713166465112,240.29394380649,4,"placebo"
1.5,0.288714486859763,70.7087330059199,228.82315761938,4,"placebo"
2,0.354311611317968,116.159619163564,209.946335351102,4,"placebo"
2.5,0.375134824792166,162.174374096385,185.045795248604,4,"placebo"
3,0.374733058246063,201.568024317873,157.763963463123,4,"placebo"
3.5,0.367869554090796,232.285920021856,131.65670967124,4,"placebo"
4,0.359297093069886,254.948982517125,108.906120009065,4,"placebo"
4.5,0.350177263563358,270.910573448126,90.3198037176203,4,"placebo"
5,0.340771790137115,281.501246507928,75.8085647712236,4,"placebo"
5.5,0.331146601285191,287.837612014122,64.8458769648993,4,"placebo"
6,0.321327618876611,290.812896710486,56.7712784891311,4,"placebo"
6.5,0.311333360729419,291.131178905181,50.9515076283684,4,"placebo"
7,0.30118158512469,289.345461250136,46.8477863599398,4,"placebo"
7.5,0.290890504271354,285.890282959517,44.0312971450831,4,"placebo"
8,0.280478852776557,281.107835456141,42.1744606648768,4,"placebo"
8.5,0.269965722399772,275.268443062698,41.0335649576484,4,"placebo"
9,0.259370362436234,268.586513243024,40.4304295261352,4,"placebo"
9.5,0.248711990330198,261.232926845586,40.2363084757676,4,"placebo"
10,0.238009622193411,253.344651712217,40.3589508869803,4,"placebo"
10.5,0.227281924656214,245.03219642478,40.7327066333578,4,"placebo"
11,0.216547087412957,236.385385978495,41.3111895550577,4,"placebo"
11.5,0.205822715270169,227.477834729919,42.0619418711183,4,"placebo"
12,0.195125738324043,218.37040874056,42.9626019084215,4,"placebo"
12.5,0.184472338874747,209.113904742161,43.9981732313527,4,"placebo"
13,0.17387789381368,199.751122383468,45.1590884552877,4,"placebo"
13.5,0.163356930031868,190.318467079952,46.4398413801368,4,"placebo"
14,0.152923095171402,180.847190148556,47.8380238441548,4,"placebo"
14.5,0.142589135030451,171.364348097556,49.3536513666153,4,"placebo"
15,0.132366887158489,161.89355034732,50.9886921157217,4,"placebo"
15.5,0.122267277391563,152.455530799584,52.7467494057721,4,"placebo"
16,0.112300329164883,143.068605243857,54.6328442527681,4,"placebo"
16.5,0.102475179226681,133.749021621959,56.6532819698664,4,"placebo"
17,0.0928000954710585,124.511239998741,58.8155757134394,4,"placebo"
17.5,0.0832825124158993,115.368153417856,61.1284168676632,4,"placebo"
18,0.0739290593132509,106.331268514258,63.6016804665633,4,"placebo"
18.5,0.0647456092273892,97.4108535721717,66.2464606393574,4,"placebo"
19,0.0557373346513314,88.6160643604011,69.0751315854399,4,"placebo"
19.5,0.0469087888823153,79.9550562544235,72.1014312334804,4,"placebo"
20,0.0382640362949329,71.4350920549691,75.3405655794575,4,"placebo"
20.5,0.0298069060463582,63.0626612378154,78.8093321244248,4,"placebo"
21,0.0215416188205748,54.8436466333159,82.5262593357244,4,"placebo"
0,0.0394620415268602,6.345027023202,248.397468750573,5,"placebo"
0.5,0.09232752936646,15.7199265145483,245.964099865072,5,"placebo"
1,0.184474873601713,35.8713166465112,240.29394380649,5,"placebo"
1.5,0.288714486859763,70.7087330059199,228.82315761938,5,"placebo"
2,0.354311611317968,116.159619163564,209.946335351102,5,"placebo"
2.5,0.375134824792166,162.174374096385,185.045795248604,5,"placebo"
3,0.374733058246063,201.568024317873,157.763963463123,5,"placebo"
3.5,0.367869554090796,232.285920021856,131.65670967124,5,"placebo"
4,0.359297093069886,254.948982517125,108.906120009065,5,"placebo"
4.5,0.350177263563358,270.910573448126,90.3198037176203,5,"placebo"
5,0.340771790137115,281.501246507928,75.8085647712236,5,"placebo"
5.5,0.331146601285191,287.837612014122,64.8458769648993,5,"placebo"
6,0.321327618876611,290.812896710486,56.7712784891311,5,"placebo"
6.5,0.311333360729419,291.131178905181,50.9515076283684,5,"placebo"
7,0.30118158512469,289.345461250136,46.8477863599398,5,"placebo"
7.5,0.290890504271354,285.890282959517,44.0312971450831,5,"placebo"
8,0.280478852776557,281.107835456141,42.1744606648768,5,"placebo"
8.5,0.269965722399772,275.268443062698,41.0335649576484,5,"placebo"
9,0.259370362436234,268.586513243024,40.4304295261352,5,"placebo"
9.5,0.248711990330198,261.232926845586,40.2363084757676,5,"placebo"
