"parameter","outcome","method","prcc","p","p_adj","sig","n","k_used"
"beta","Placebo mortality","PRCC",0.437535157767717,5.95608325785478e-47,2.85891996377029e-46,"*",1000,24
"p","Placebo mortality","PRCC",0.7891084187304,1.40985110648789e-208,3.38364265557094e-207,"*",1000,24
"c","Placebo mortality","PRCC",-0.569218890190294,5.58420675850312e-85,4.4673654068025e-84,"*",1000,24
"delta_natural","Placebo mortality","PRCC",-0.175137985261059,3.58997542220949e-08,1.07699262666285e-07,"*",1000,24
"delta_NK","Placebo mortality","PRCC",0.0479182757727461,0.134465112967537,0.215144180748059,"",1000,24
"delta_CD8","Placebo mortality","PRCC",-0.0735592479342591,0.0214814637842691,0.0429629275685382,"*",1000,24
"k_FI","Placebo mortality","PRCC",0.0398369966954545,0.213468365654731,0.320202548482096,"",1000,24
"E_max_IFN","Placebo mortality","PRCC",0.0650746032436647,0.0419930872498246,0.0775256995381376,"",1000,24
"EC50_F","Placebo mortality","PRCC",0.0138133187865981,0.666300609280741,0.841642874880935,"",1000,24
"k_CI","Placebo mortality","PRCC",0.00247780161387401,0.938345423163585,0.976494181300426,"",1000,24
"k_CF2","Placebo mortality","PRCC",-0.00840692443077098,0.792979563944039,0.931315012274115,"",1000,24
"k_CC","Placebo mortality","PRCC",-0.0214692167202338,0.502678381858743,0.709663597918225,"",1000,24
"K_CC","Placebo mortality","PRCC",-0.0577993669503358,0.0709446219861899,0.121619351976326,"",1000,24
"d_C","Placebo mortality","PRCC",-0.000943858973161343,0.976494181300426,0.976494181300426,"",1000,24
"I_gate","Placebo mortality","PRCC",0.0756880719599892,0.017974253755602,0.0392165536485862,"*",1000,24
"k_PV","Placebo mortality","PRCC",0.594419606259212,2.18131348295986e-94,2.61757617955184e-93,"*",1000,24
"k_PC","Placebo mortality","PRCC",0.0162818943824642,0.611239225822805,0.814985634430407,"",1000,24
"d_P","Placebo mortality","PRCC",-0.407589788465124,2.14036815065224e-40,8.56147260260897e-40,"*",1000,24
"k_KP","Placebo mortality","PRCC",0.531032152413249,3.49283956710808e-72,2.09570374026485e-71,"*",1000,24
