"parameter","value","units","description","source","confidence"
"T_0",1e+06,"cells","Initial susceptible target cells","Assumed (typical epithelial pool)","low"
"I_0",0,"cells","Initial infected cells","Assumed","low"
"V_0",1000,"copies/mL","Initial viral inoculum (increased for establishment)","Estimated from clinical viremia","medium"
"beta",1e-07,"mL/copy/day","Infection rate constant (calibrated for R0=3.33, ~9.6% placebo mortality)","Calibrated to Huggins JID 1991 placebo mortality","medium"
"p",100,"copies/cell/day","Viral production rate","Fitted to peak viremia","medium"
"c",3,"/day","Viral clearance rate","Literature (RNA virus half-life ~5.5h)","high"
"k_NSs",0.5,"/day","NSs production rate","Assumed (viral protein kinetics)","low"
"d_NSs",1.5,"/day","NSs decay rate (t1/2 ~ 11h)","Assumed","low"
"K_NSs_sup",10,"AU","NSs suppression half-max","Assumed","low"
"k_FI",5,"AU/day","IFN-I max production rate","Assumed (innate response)","low"
"K_FI",1e+05,"cells","IFN production saturation","Assumed","low"
"d_F_I",3.5,"/day","IFN-I decay (t1/2 ~ 4.8h)","Literature (IFN-alpha PK)","medium"
"E_max_IFN",0.8,"dimensionless","Max IFN antiviral effect","Assumed","low"
"EC50_F",50,"AU","IFN half-max antiviral","Assumed","low"
"k_NK_I",0.3,"AU/day","NK activation by infected cells","Assumed","low"
"K_NK_I",1e+05,"cells","NK activation saturation (I)","Assumed","low"
"k_NK_F",0.2,"AU/day","NK activation by IFN-I","Assumed","low"
"K_NK_F",50,"AU","NK activation saturation (F_I)","Assumed","low"
"d_NK",0.7,"/day","NK decay (t1/2 ~ 24h)","Literature (NK cell kinetics)","medium"
"k_FII_NK",0.2,"/day","IFN-gamma production by NK","Assumed","low"
"d_F_II",2.8,"/day","IFN-II decay (t1/2 ~ 6h)","Literature (IFN-gamma PK)","medium"
"k_CI",2,"AU/day","Cytokine prod by infected cells","Assumed","low"
"k_CF2",1.5,"AU/day","Cytokine amplification by IFN-II","Assumed","low"
"k_CC",0.8,"/day","Cytokine auto-amplification max (calibrated)","Calibrated to mortality targets","medium"
"K_CC",200,"AU","Auto-amplification half-max (calibrated)","Calibrated to mortality targets","medium"
"d_C",5.5,"/day","Cytokine decay (t1/2 ~ 3h)","Literature (IL-6/TNF half-life)","medium"
"k_anti",0.5,"AU/day","IL-10 production rate","Assumed","low"
"K_anti",100,"AU","IL-10 production saturation","Assumed","low"
"d_anti",0.5,"/day","IL-10 decay (t1/2 ~ 33h)","Literature (IL-10 half-life)","medium"
"k_suppress",1,"/day","Max IL-10 suppression rate","Assumed","low"
"K_suppress",30,"AU","IL-10 suppression potency","Assumed","low"
"I_ref",1e+06,"cells","Reference infected cells","Defined scale","high"
"F_I_ref",100,"AU","Reference Type I IFN","Defined scale","high"
"F_II_ref",50,"AU","Reference Type II IFN","Defined scale","high"
"C_ref",500,"AU","Reference cytokines","Defined scale","high"
"V_ref",1e+05,"copies/mL","Reference viral load","Defined scale","high"
"delta_natural",0.03,"/day","Natural infected cell turnover (t1/2 ~ 23d)","Literature (non-cytopathic hantavirus)","medium"
"delta_NK",5e-06,"1/(AU*day)","NK-mediated infected cell clearance","Assumed","low"
"I_gate",10000,"cells","Auto-amplification gate threshold (raised to match clinical RBV efficacy)","Calibrated","medium"
"k_CD4_I",0.15,"AU/day","CD4 activation by infected cells","Assumed (T cell kinetics, PMID:19072554)","low"
"K_CD4_I",500,"cells","CD4 activation saturation (I) — lowered to match CD8 priming sensitivity","Calibrated (CD4/CD8 consistency)","medium"
"k_CD4_F",0.1,"AU/day","CD4 activation by IFN-I","Assumed","low"
"K_CD4_F",50,"AU","CD4 activation saturation (F_I)","Assumed","low"
"d_CD4",0.1,"/day","CD4 decay (t1/2 ~ 23d, memory)","General viral immunology","medium"
"k_CD8_I",5,"AU/day","CD8 priming by infected cells (upscaled for delay chain)","Calibrated (T cell kinetics, PMID:19072554)","low"
