"arm","pep_day","V_peak","V_AUC","K_peak","L_peak","PLT_nadir","C_pro_peak","mortality_prob","dialysis_prob","ecmo_prob","established","time_clearance"
"placebo",0,34182581.7538863,394536384.857187,53.0439941566238,183.400702237234,40236.3084725379,0.376377610509196,0.0958389501220528,0.43109779164925,0.314364897974798,TRUE,NA
"placebo",1,34182581.7538863,394536384.857187,53.0439941566238,183.400702237234,40236.3084725379,0.376377610509196,0.0958389501220528,0.43109779164925,0.314364897974798,TRUE,NA
"placebo",2,34182581.7538863,394536384.857187,53.0439941566238,183.400702237234,40236.3084725379,0.376377610509196,0.0958389501220528,0.43109779164925,0.314364897974798,TRUE,NA
"placebo",3,34182581.7538863,394536384.857187,53.0439941566238,183.400702237234,40236.3084725379,0.376377610509196,0.0958389501220528,0.43109779164925,0.314364897974798,TRUE,NA
"placebo",4,34182581.7538863,394536384.857187,53.0439941566238,183.400702237234,40236.3084725379,0.376377610509196,0.0958389501220528,0.43109779164925,0.314364897974798,TRUE,NA
"placebo",5,34182581.7538863,394536384.857187,53.0439941566238,183.400702237234,40236.3084725379,0.376377610509196,0.0958389501220528,0.43109779164925,0.314364897974798,TRUE,NA
"ribavirin",0,1000,3146.39203960793,0.000447955432661483,0.000745578381650869,249957.114380706,2.85647645979056e-06,3.27995182847455e-06,6.39932237214659e-06,1.86394247983913e-06,FALSE,0
"ribavirin",1,2428.82481907308,8988.91652536967,0.000883871266897273,0.00148142495006048,249938.074155999,2.53717021821016e-05,5.80080667713457e-06,1.26265729518892e-05,3.70354865882774e-06,FALSE,0
"ribavirin",2,18699.3795146615,74280.0241339464,0.00633666549921463,0.0105639343422845,249689.46403098,0.000151474892655113,3.45894614179258e-05,9.05155990305873e-05,2.64091383947011e-05,TRUE,8.2
"ribavirin",3,10007834.718919,115696524.719269,3.89640539099338,28.4103646027196,105943.114807375,0.0382414951404965,0.0217662353099248,0.0527279421830751,0.066315773263482,TRUE,NA
"ribavirin",4,10425430.6261389,128755023.60683,4.04351059205107,29.6342430051534,102336.319758845,0.0396261956358416,0.0231805467980647,0.0546099254305908,0.0689755146095232,TRUE,NA
"ribavirin",5,10561844.7128449,137318007.9083,4.11351160194725,30.2061432111309,100401.503461775,0.0401019840246427,0.0240352369511077,0.0555028565376894,0.0702131842787441,TRUE,NA
"favipiravir",0,1000,419.776105112769,0.00106895391994021,0.00186091128883968,249976.236933316,1.02770881339022e-05,7.30796722763552e-06,1.52705370919961e-05,4.65225657850724e-06,FALSE,0
"favipiravir",1,1939.70530106161,2016.16811894902,0.0018622098376454,0.00324446268118938,249957.776891498,4.70224831026716e-05,1.3465116448917e-05,2.660228997999e-05,8.11109091264403e-06,FALSE,0
"favipiravir",2,11529.7058223893,12140.9099973464,0.00502089504555775,0.008164451952226,249909.972870682,0.000278990820664068,3.38296112023806e-05,7.17219276755204e-05,2.04107132748454e-05,TRUE,5.1
"favipiravir",3,70132.5069831684,78746.2135456204,0.0292761125703508,0.0472829241789789,249670.442517723,0.00188030154549679,0.000159423816295967,0.0004180553362181,0.000118193339130716,TRUE,7.2
"favipiravir",4,458065.4168223,662991.299930575,0.185426882545255,0.45823022802967,247960.482168179,0.0138171067317504,0.000938295894337223,0.00264195703839724,0.00114426472835567,TRUE,12.6
"favipiravir",5,29908317.2555706,77761609.134373,23.4090646806259,71.7101476393927,139369.081167047,0.341986911229594,0.0504493383362038,0.250608062083307,0.152021634468235,TRUE,NA
"combination",0,1000,357.409960457305,0.000251903881528127,0.000417904112109809,249977.209769218,1.13511506113424e-06,1.69705425999383e-06,3.59861392890442e-06,1.04475918875162e-06,FALSE,0
"combination",1,1939.70530106161,1768.54172755392,0.000440319007477623,0.000735139860272189,249958.214572183,2.53717021821016e-05,3.19842324404425e-06,6.29023196812752e-06,1.83784627299534e-06,FALSE,0
"combination",2,11529.7058223893,10810.232715231,0.00149450395609758,0.0023776627832025,249916.182965444,0.000151474892655113,8.96244472806616e-06,2.13496007004982e-05,5.94412162521433e-06,TRUE,5.1
"combination",3,70132.5069831684,66548.0762495776,0.00890298238183785,0.0141250229151294,249706.832086691,0.000925228872485279,4.39638805822089e-05,0.000127169288512896,3.53113103551537e-05,TRUE,6.5
"combination",4,458065.4168223,452451.564233645,0.0552753062762898,0.2028036354705,248512.963332655,0.00606967677204893,0.000260778510997986,0.000789024181756911,0.000506752160725056,TRUE,10.9
"combination",5,2990894.31834525,3317719.30348765,0.360180340400776,1.88569553493703,240713.7701284,0.0394620415268602,0.00174675617447652,0.00511909347955382,0.00469211906740557,TRUE,19.3
