"parameter","perturbation_pct","arm","V_peak","V_AUC","K_peak","L_peak","C_pro_max","mortality_prob","S_V_peak","S_V_AUC","S_K_peak","S_L_peak","S_C_pro_max","S_mortality"
"beta",-10,"placebo",34214000.959705,391239938.522914,53.1700051702023,183.795354952174,0.376473248184297,0.0957901434270568,-0.00919157814613384,0.0429513391242218,-0.0237559443831788,-0.0215186051262996,-0.00254099444053767,0.00488032728857031
"p",-10,"placebo",30795936.0356879,352232291.046004,47.8696222556372,165.418401732648,0.376463081357035,0.0926326895742122,0.99075188626546,1.03569519227033,0.975486853831836,0.980492455724182,-0.00227087137879601,0.334341459626029
"c",-10,"placebo",37838695.5866435,436517450.872292,58.7670726276959,203.283303930492,0.376309206400807,0.0988668194521922,-1.06958387123202,-1.10936045043444,-1.0789305304787,-1.08410717442279,0.00181744184164066,-0.316152129342082
"delta_natural",-10,"placebo",34371864.7244914,403789068.9544,53.685714020466,185.750089145034,0.378306398507997,0.0962733822913442,-0.0553740946794933,-0.276423780986792,-0.120978798450118,-0.128101304601598,-0.0512460786669005,-0.0455427131856892
"delta_NK",-10,"placebo",34182590.0232935,392928224.681847,53.0440272954981,183.400826079198,0.376377692275858,0.095836938490497,-2.41372883527816e-06,-1.55100717917434e-05,-6.24817033702766e-06,-6.75330709940208e-06,-2.16360453885337e-06,-2.45336550551422e-06
"delta_CD8",-10,"placebo",34218138.1778505,398465502.574706,53.2293472127229,184.102328050148,0.376724565066189,0.0959941628184795,-0.0104019074808085,-0.140939122410932,-0.0349432698228403,-0.0382564416914387,-0.00921824820517448,-0.0164078570680627
"k_CC",-10,"placebo",34182581.7721769,392927615.225373,53.0439941509164,183.400702216897,0.376377560033871,0.0958369149671555,1.07733186923854e-10,5.83339649938762e-10,3.3757615296352e-10,3.36670441033877e-10,1.34994099349227e-06,1.15230761266501e-09
"K_CC",-10,"placebo",34182581.7725204,392927615.31182,53.0439941527845,183.400702223278,0.376377730008904,0.0958369150046592,7.23423326117855e-12,-1.61672569342085e-09,-1.46076264754065e-11,-1.12617105565675e-11,-3.16613616875221e-06,-2.7609809269341e-09
"d_C",-10,"placebo",34182581.7613042,392927615.322672,53.0440010153769,183.400719506438,0.417813506033374,0.0958464849492033,3.28850283799465e-09,-1.89291441758059e-09,-1.29376944180392e-06,-9.4238281717686e-07,-1.10091285977349,-0.000998568349850925
"k_CD8_I",-10,"placebo",34265107.8756474,407621411.04856,53.4399792551226,184.90508901872,0.377219325578653,0.0961988080331185,-0.0241427355169857,-0.373956811128705,-0.0746522030893065,-0.0820273192748772,-0.0223635708335894,-0.0377613422763055
"k_neut_IgG",-10,"placebo",34183557.6649106,392961372.74445,53.0464328890175,183.409598180903,0.376377628976022,0.0958385110319235,-0.000285494048397684,-0.000859127606344715,-0.000459757291930154,-0.000485055821702036,-4.81787274781023e-07,-0.000166538512329321
"k_KP",-10,"placebo",34182581.7725451,392927615.248294,47.759003003045,183.400702223071,0.376377610842627,0.0931059495633323,0,0,0.996341100266161,0,0,0.284959654167479
"k_LP",-10,"placebo",34182581.7716444,392927615.224724,53.0439941504798,174.222354466699,0.376377610827572,0.0956276104885863,2.63496974674262e-10,5.99865161890188e-10,4.19870470479944e-10,0.500453250457497,4.0001378883651e-10,0.021839652253011
"d_K",-10,"placebo",34182581.7725451,392927615.248294,58.5040275971821,183.400702223071,0.376377610842627,0.0983207474374465,0,0,-1.02934055621006,0,0,-0.259172831242816
"d_L",-10,"placebo",34182581.772121,392927615.244035,53.0439941525219,201.486334921973,0.376377610835086,0.0962142808328741,1.24095762727309e-10,1.08398802876534e-10,3.48922012316725e-11,-0.986126687612321,2.00366764944828e-10,-0.0393758349547378
"EC50_RBV",-10,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"Emax_RBV",-10,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"CL_RBV",-10,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"beta",-25,"placebo",34190583.2014602,384278282.302935,53.3138302091745,184.217572652262,0.375820483963327,0.0955774126271969,-0.000936316509774866,0.0880501406336024,-0.0203480948806857,-0.0178160807300897,0.00592093539307541,0.0108309976823013
"p",-25,"placebo",25651431.6977399,289129033.097079,40.0330042348007,138.193871271777,0.375859840835957,0.0867180182371844,0.998303771385377,1.05666874124512,0.981147074290767,0.98596854653934,0.0055026653207272,0.380600596047517
"c",-25,"placebo",45001132.4475633,522289350.845959,70.1726843694173,242.941355919766,0.37610220252451,0.103799186631637,-1.26597233023603,-1.31690144013848,-1.29165915880308,-1.29859161878835,0.00292693624894764,-0.332325874857285
"delta_natural",-25,"placebo",34659956.6953953,420877821.720459,54.6860515430846,189.42683720904,0.38124008886408,0.0969350357547825,-0.0558617749854736,-0.284532879721401,-0.123826074307328,-0.131431012268193,-0.0516765916077336,-0.0458328933828263
"delta_NK",-25,"placebo",34182602.3994204,392929138.82476,53.0440770097361,183.401011863596,0.37637781442574,0.0958369737593511,-2.4137293501097e-06,-1.5509996314418e-05,-6.24817421471287e-06,-6.75331165057747e-06,-2.16360491937221e-06,-2.45338248781633e-06
"delta_CD8",-25,"placebo",34271559.3909751,407065615.986039,53.5125990198445,185.185237309036,0.377245751419586,0.0962324434702071,-0.0104120419015739,-0.143924735132814,-0.0353370725280149,-0.0389210087929641,-0.00922627225370853,-0.0165083983389177
"k_CC",-25,"placebo",34182581.7816381,392927615.759659,53.0439941851423,183.400702335545,0.376377483967147,0.0958369149784062,-1.06404476891913e-09,-5.20568249742845e-09,-2.44591812308689e-09,-2.45306245946591e-09,1.34838499268387e-06,-8.65478215660572e-12
