"time","T","I","V","NSs","F_I","NK","F_II","C_pro","C_anti","P","PLT","K","L","CD8_N","CD8_E","CD4","IgM","IgG","C_RBV","C_FAV_gut","C_FAV","C_FAVI_RTP","Hgb_drop","arm","sample_id"
0,995474.363023536,3918.94210784108,72269.0606227599,1054.40004542611,0.000528933646809834,0.0031489500554726,8.15366021341273e-05,0.00048374845509606,8.33400562805259e-07,0.292032898936462,157706.127037515,0.116569243019885,0.0234975928327067,7.42697179613071,1.59050945701007,0.0787864092160368,1.67627963662964e-05,1.98329305658123e-08,0,0,0,0,0,"placebo",1
0.5,991020.316847066,8012.08759599516,145837.308902365,2119.6534435702,0.000525512785174794,0.00616988963459751,0.000159476112094319,0.000982317746963141,1.66014029540654e-06,0.579380626071041,150897.068701002,0.136341971859077,0.0892213747851226,9.78952711545829,2.38166376474713,0.101583094581254,4.57102174066619e-05,7.55379020260628e-08,0,0,0,0,0,"placebo",1
1,981905.161820901,16873.570753845,303310.074819434,4387.27752025519,0.000510259561058025,0.0121309101189699,0.00031321555408422,0.00205632945761281,3.3851520135302e-06,1.17012701678451,143898.142776862,0.164887139425279,0.28549988078636,12.1633834891029,3.37481650223282,0.124777420851934,0.000120489846601889,2.60038511811017e-07,0,0,0,0,0,"placebo",1
1.5,962846.723364829,36237.5851227511,646317.400816904,9312.10761708266,0.00047067551834747,0.0234532884045939,0.000611273595074485,0.00440157092882155,7.08206696512137e-06,2.42050247214245,136204.46819098,0.212448520866362,0.748928904478779,14.4365369914367,4.55537239788232,0.147716485144109,0.000310470937238564,8.31363049262494e-07,0,0,0,0,0,"placebo",1
2,922992.292399839,77903.8313700246,1390083.43945585,19996.3569563191,0.000397471765861185,0.0429131029122007,0.00115138898855705,0.00947364020946284,1.50840451066718e-05,5.10975681146067,126823.372801803,0.301527942892541,1.77943101111739,16.5502766129614,5.90093570875315,0.170041425125674,0.000782740689531464,2.51033087228268e-06,0,0,0,0,0,"placebo",1
2.5,842846.155622008,162895.60457862,2945593.86028402,42465.1758667973,0.000298373330014698,0.0713394766936079,0.00201360673015575,0.0199713697023999,3.21461573627004e-05,10.8602551501185,113944.791715846,0.480489347457208,4.02468951117884,18.4841721801723,7.38635973478109,0.191586126238607,0.00191249046491942,7.20373188086121e-06,0,0,0,0,0,"placebo",1
3,697943.782758827,316789.385741849,5924551.52670928,86115.425819274,0.000199866758349541,0.105648971451388,0.00317803522813117,0.0395886111432265,6.6650137037404e-05,22.6876336705716,94949.2544723144,0.84699603857709,8.81074910997433,20.2391576001652,8.98684027990027,0.212290952038194,0.00443134354418624,1.95492536542598e-05,0,0,0,0,0,"placebo",1
3.5,485907.236723771,539097.446768793,10728729.593424,158711.744982276,0.000125186152022292,0.140589800591168,0.00450629149338539,0.0696691306085394,0.000129126945791502,44.9668221202915,68251.9865389545,1.57346120768599,18.5558534653376,21.8259910708922,10.6794133762291,0.232148738224033,0.00940827048420576,4.93544057962674e-05,0,0,0,0,0,"placebo",1
4,264362.97384816,762834.944695493,16579336.3298393,252611.827071907,7.90078108417564e-05,0.172054124188383,0.00582373951523476,0.103024738585104,0.000223501559520405,81.1735627359304,38043.0893167593,2.89416612288597,36.8079919915956,23.2589794738037,12.4435023227136,0.251176100180017,0.0176518355836605,0.000113229857444533,0,0,0,0,0,"placebo",1
4.5,111553.955990706,902113.458234302,21473581.5948154,340203.902587822,5.41420993322089e-05,0.198220653914918,0.0070033963163866,0.126835504186194,0.000336635686529078,129.800656903625,14871.4524813245,4.99997906457945,67.1557519398763,24.5530060281614,14.2609908707091,0.269399610619282,0.0288499950448385,0.000231983153607526,0,0,0,0,0,"placebo",1
